date,actual,counterfactual,ci_lower,ci_upper,effect
2018-01-01,41,32.42740180178981,22.86225526489452,41.992548338685104,8.572598198210187
2018-02-01,42,33.788761760900385,24.036646834290732,43.540876687510035,8.211238239099615
2018-03-01,38,32.73880443446754,23.1770685332254,42.300540335709684,5.261195565532461
2018-04-01,36,32.20693899907137,22.655472469123424,41.75840552901931,3.793061000928631
2018-05-01,37,31.766013393634477,22.237564576888445,41.29446221038051,5.233986606365523
2018-06-01,34,31.338861332557084,21.88167188544248,40.79605077967169,2.6611386674429163
2018-07-01,32,33.72810650993872,24.220437795685832,43.235775224191606,-1.7281065099387192
2018-08-01,31,33.430477421620495,23.797902000166822,43.06305284307417,-2.4304774216204947
2018-09-01,33,33.364347190101604,23.90108496896991,42.8276094112333,-0.3643471901016042
2018-10-01,35,32.713994836027155,23.26832015999716,42.15966951205715,2.2860051639728454
2018-11-01,32,31.61168082243492,22.166254703487553,41.05710694138229,0.38831917756508005
2018-12-01,29,30.145607489005574,20.665171922728707,39.62604305528244,-1.1456074890055739
2019-01-01,31,31.61168082243492,22.166254703487553,41.05710694138229,-0.61168082243492
2019-02-01,34,33.66197627841983,24.239311214091792,43.084641342747865,0.33802372158017135
2019-03-01,35,32.636828550427374,23.20693097805984,42.066726122794904,2.3631714495726257
2019-04-01,49,32.46872243486832,23.019859566735697,41.91758530300094,16.53127756513168
2019-05-01,33,33.14388438738315,23.668888469322212,42.618880305444094,-0.143884387383153
2019-06-01,33,33.06671810178338,23.507982757156604,42.625453446410155,-0.06671810178337978
2019-07-01,36,36.86967992543498,27.048464927201437,46.69089492366852,-0.8696799254349799
2019-08-01,36,36.533467694316855,26.38639677265931,46.6805386159744,-0.5334676943168546
2019-09-01,39,37.97199393902721,28.25749662915335,47.68649124890106,1.0280060609727926
2019-10-01,39,35.59652230600507,26.085665832233005,45.107378779777136,3.4034776939949296
2019-11-01,38,36.817323238275584,27.101819319111236,46.53282715743993,1.1826767617244158
2019-12-01,33,34.844194067890456,25.307839089559312,44.3805490462216,-1.8441940678904558
2020-01-01,37,35.816985108723514,26.31730754408302,45.31666267336401,1.1830148912764855
2020-02-01,39,38.47631228570438,28.97464073606912,47.97798383533964,0.5236877142956189
2020-03-01,34,32.909648040305214,23.475953708351447,42.34334237225898,1.090351959694786
2020-04-01,33,29.795621713527957,20.297447974156114,39.2937954528998,3.2043782864720427
2020-05-01,35,28.990936788253947,19.471304057079806,38.51056951942809,6.009063211746053
2020-06-01,35,29.029519931053837,19.511991611000006,38.54704825110767,5.970480068946163
2020-07-01,33,29.743265026368565,20.2508568902975,39.23567316243963,3.256734973631435
2020-08-01,32,30.029858060605903,20.49459771362123,39.565118407590575,1.9701419393940967
2020-09-01,33,32.87106489750532,23.42021272857049,42.32191706644015,0.12893510249467965
2020-10-01,28,29.872787999127738,20.38143941542205,39.364136582833424,-1.8727879991277376
2020-11-01,25,29.211399590972395,19.701034056630203,38.72176512531459,-4.211399590972395
2020-12-01,25,29.340922563731564,19.83437704685359,38.84746808060954,-4.340922563731564
2021-01-01,24,28.89999695829467,19.378338853232137,38.4216550633572,-4.899996958294668
2021-02-01,25,31.779786937993975,22.321032627409956,41.238541248577995,-6.7797869379939755
2021-03-01,26,32.0911895706717,22.637466271934365,41.54491286940904,-6.091189570671702
2021-04-01,27,30.170417087445962,20.642422652367262,39.698411522524665,-3.170417087445962
2021-05-01,25,30.22277377460535,20.728844347173467,39.71670320203724,-5.222773774605351
2021-06-01,34,30.97510201271997,21.486030823355144,40.464173202084794,3.0248979872800312
2021-07-01,25,30.625116237242356,21.147292806718944,40.10293966776577,-5.625116237242356
2021-08-01,24,30.054667659046295,20.571751288833653,39.53758402925894,-6.054667659046295
2021-09-01,27,32.03883288351231,22.551141245666823,41.5265245213578,-5.038832883512313
2021-10-01,27,32.518341631749095,22.9707805456559,42.06590271784229,-5.518341631749095
2021-11-01,26,32.24552214187126,22.641869411362755,41.84917487237977,-6.2455221418712625
2021-12-01,26,32.4797584889492,22.974818131859443,41.98469884603896,-6.4797584889492015
2022-01-01,34,39.382973095018556,29.839833233121983,48.926112956915134,-5.382973095018556
2022-02-01,42,42.73123576887376,33.06528141439813,52.39719012334939,-0.7312357688737592
2022-03-01,46,44.05401258518444,34.27380314762773,53.834222022741145,1.945987414815562
2022-04-01,53,43.39262417702909,33.67584472378441,53.109403630273775,9.607375822970909
2022-05-01,41,43.71780035406632,33.9925025515755,53.44309815655714,-2.71780035406632
2022-06-01,42,44.37918876222166,34.61192077471784,54.14645674972548,-2.379188762221659
2022-07-01,43,44.04297653110355,34.25579030267274,53.83016275953435,-1.0429765311035482
2022-08-01,39,42.937925027232694,33.20766431527618,52.668185739189205,-3.937925027232694
2022-09-01,44,46.93380256488375,36.86778920541041,56.99981592435709,-2.9338025648837487
2022-10-01,45,43.7536460065876,33.69337653867396,53.81391547450124,1.2463539934123986
2022-11-01,46,44.62446116338049,34.76237068104759,54.486551645713384,1.375538836619512
2022-12-01,41,44.092595727984325,34.27891329576548,53.90627816020317,-3.0925957279843246
2023-01-01,44,42.61274885019547,32.79916712859826,52.42633057179268,1.387251149804527
2023-02-01,44,46.26967666644979,35.72557327830057,56.81378005459901,-2.26967666644979
2023-03-01,40,43.376113142390984,32.99226294778283,53.75996333699914,-3.3761131423909845
2023-04-01,34,39.26448617634028,29.4746665235213,49.054305829159254,-5.264486176340277
2023-05-01,35,38.914500400862664,29.205518389381346,48.62348241234398,-3.9145004008626643
2023-06-01,36,38.68026405378471,28.83113015572352,48.5293979518459,-2.680264053784711
2023-07-01,33,39.35542600629955,29.586514975531493,49.12433703706761,-6.3554260062995525
2023-08-01,32,40.45774001989179,30.515959335402343,50.39952070438123,-8.457740019891787
2023-09-01,32,41.6509938634433,31.53307739173109,51.7689103351555,-9.650993863443297
2023-10-01,31,40.69197636696973,30.89327746154828,50.49067527239119,-9.691976366969733
2023-11-01,29,38.30546867986671,28.739650605058376,47.871286754675054,-9.305468679866713
2023-12-01,24,39.25345012225939,29.729934093371305,48.77696615114747,-15.253450122259387
2024-01-01,26,39.239676577899886,29.644625060919402,48.83472809488037,-13.239676577899886
2024-02-01,30,42.23521598599886,32.179756263981155,52.29067570801657,-12.235215985998863
2024-03-01,27,39.53730566621812,29.80695948283543,49.2676518496008,-12.537305666218117
2024-04-01,27,37.86454307442982,28.336448775255533,47.3926373736041,-10.864543074429818
2024-05-01,27,37.591723584551985,28.029647614660533,47.15379955444344,-10.591723584551985
2024-06-01,25,35.68472464568573,26.195043774277735,45.17440551709373,-10.684724645685733
2024-07-01,25,37.28032095187425,27.72517217053257,46.83546973321593,-12.280320951874252
2024-08-01,24,38.16217216274804,28.516499712749642,47.80784461274644,-14.162172162748043
2024-09-01,23,39.79635161173644,29.962190736101405,49.630512487371476,-16.79635161173644
2024-10-01,24,37.448427067433315,27.8005174811696,47.09633665369703,-13.448427067433315
2024-11-01,22,36.87797848923725,27.3151290830163,46.4408278954582,-14.87797848923725
2024-12-01,19,36.178006938282024,26.703983605614365,45.65203027094968,-17.178006938282024
2025-01-01,20,36.566575856559524,27.009144796545904,46.124006916573144,-16.566575856559524
2025-02-01,21,38.29169513550721,28.60149709235318,47.98189317866124,-17.29169513550721
2025-03-01,18,35.81424761844491,26.29735732457945,45.33113791231037,-17.81424761844491
2025-04-01,17,36.94684621103475,27.27556751044535,46.61812491162416,-19.946846211034753
2025-05-01,17,33.01162392434537,23.498764172484744,42.524483676206,-16.011623924345372
2025-06-01,17,33.7391425640196,24.306485842123692,43.17179928591551,-16.739142564019602
2025-07-01,19,35.037109781889896,25.61506400010942,44.45915556367037,-16.037109781889896
2025-08-01,38,35.14182315620868,25.688934919591144,44.59471139282621,2.8581768437913198
2025-09-01,32,35.75085487720463,26.32356122672224,45.17814852768702,-3.750854877204631
2025-10-01,33,33.07775415586427,23.651199573796873,42.504308737931666,-0.07775415586426959
2025-11-01,40,32.72776838038665,23.297769814414735,42.157766946358564,7.2722316196133505
2025-12-01,28,31.170755216998028,21.715076631380345,40.62643380261571,-3.170755216998028
2026-01-01,39,30.677472924401744,21.21155152794197,40.14339432086152,8.322527075598256
2026-02-01,38,31.55932413527553,22.10209108978718,41.01655718076388,6.440675864724469
2026-03-01,46,30.91170927147969,21.434060712659676,40.3893578302997,15.08829072852031
2026-04-01,100,35.01230018344951,25.541339245374946,44.48326112152408,64.98769981655049
