date,actual,synthetic,effect
2018-01-01,41,31.618355078366847,9.381644921633153
2018-02-01,42,33.233967363073866,8.766032636926134
2018-03-01,38,32.021524636669625,5.978475363330375
2018-04-01,36,31.34924936710989,4.650750632890109
2018-05-01,37,30.811037944595984,6.188962055404016
2018-06-01,34,30.404934334797304,3.5950656652026964
2018-07-01,32,33.75946456243886,-1.7594645624388576
2018-08-01,31,33.488402816851305,-2.4884028168513055
2018-09-01,33,33.22320917425556,-0.2232091742555582
2018-10-01,35,32.15265443221955,2.847345567780451
2018-11-01,32,30.80712587593478,1.19287412406522
2018-12-01,29,28.925341931466708,0.07465806853329227
2019-01-01,31,30.80712587593478,0.1928741240652201
2019-02-01,34,33.49427091984311,0.5057290801568897
2019-03-01,35,32.150698397888945,2.849301602111055
2019-04-01,49,32.01467851651252,16.985321483487482
2019-05-01,33,32.9541034629986,0.045896537001397064
2019-06-01,33,32.952147428668,0.04785257133200105
2019-07-01,36,38.05537577089711,-2.0553757708971077
2019-08-01,36,37.783336008144246,-1.7833360081442464
2019-09-01,39,39.40090432718188,-0.40090432718187685
2019-10-01,39,36.17848191225554,2.821518087744458
2019-11-01,38,37.92228994101658,0.07771005898342054
2019-12-01,33,35.23710093143885,-2.237100931438853
2020-01-01,37,36.44758762351249,0.55241237648751
2020-02-01,39,39.80896397131116,-0.808963971311158
2020-03-01,34,32.55288993902643,1.4471100609735714
2020-04-01,33,28.521194355998627,4.478805644001373
2020-05-01,35,27.446727545301417,7.5532724546985825
2020-06-01,35,27.44770556246672,7.552294437533281
2020-07-01,33,28.388108526118103,4.611891473881897
2020-08-01,32,28.922407879970805,3.0775921200291947
2020-09-01,33,32.55191192186113,0.4480880781388734
2020-10-01,28,28.52315039032923,-0.5231503903292314
2020-11-01,25,27.715833256558373,-2.7158332565583727
2020-12-01,25,27.850875120769498,-2.850875120769498
2021-01-01,24,27.31266369825559,-3.312663698255591
2021-02-01,25,30.94314575731121,-5.9431457573112105
2021-03-01,26,31.34631531561399,-5.346315315613989
2021-04-01,27,28.794212135916787,-1.794212135916787
2021-05-01,25,28.92729796579731,-3.9272979657973117
2021-06-01,34,29.868678946613997,4.131321053386003
2021-07-01,25,29.464531371145917,-4.464531371145917
2021-08-01,24,28.79127808442088,-4.791278084420881
2021-09-01,27,31.213229485733464,-4.213229485733464
2021-10-01,27,31.752418925412673,-4.752418925412673
2021-11-01,26,31.350227384275193,-5.350227384275193
2021-12-01,26,31.75144090824737,-5.751440908247371
2022-01-01,34,40.75425702078905,-6.754257020789048
2022-02-01,42,45.18716612778902,-3.1871661277890198
2022-03-01,46,46.801800395330744,-0.8018003953307442
2022-04-01,53,45.99448326155988,7.005516738440122
2022-05-01,41,46.52976063257789,-5.52976063257789
2022-06-01,42,47.33707776634875,-5.337077766348749
2022-07-01,43,47.06503800359589,-4.0650380035958875
2022-08-01,39,45.32416402633075,-6.324164026330749
2022-09-01,44,50.43228245438637,-6.4322824543863675
2022-10-01,45,46.135393228762815,-1.1353932287628155
2022-11-01,46,47.47505368205578,-1.4750536820557798
2022-12-01,41,46.802778412496046,-5.802778412496046
2023-01-01,44,44.78888665531275,-0.7888866553127514
2023-02-01,44,49.22961989963513,-5.229619899635132
2023-03-01,40,45.46703002786429,-5.46703002786429
2023-04-01,34,40.35597754831277,-6.355977548312772
2023-05-01,35,39.95182997284469,-4.951829972844692
2023-06-01,36,39.55061644887252,-3.5506164488725176
2023-07-01,33,40.4900413953586,-7.4900413953586025
2023-08-01,32,41.835569951643365,-9.835569951643365
2023-09-01,32,43.315162354973964,-11.315162354973964
2023-10-01,31,42.236783475615546,-11.236783475615546
2023-11-01,29,39.277598668954354,-10.277598668954354
2023-12-01,24,40.61921515657792,-16.619215156577923
2024-01-01,26,40.4871073438627,-14.487107343862696
2024-02-01,30,44.12052345441422,-14.120523454414219
2024-03-01,27,40.758169089450256,-13.758169089450256
2024-04-01,27,38.73938724644045,-11.739387246440451
2024-05-01,27,38.337195705302975,-11.337195705302975
2024-06-01,25,35.917200338320995,-10.917200338320995
2024-07-01,25,37.934026147000196,-12.934026147000196
2024-08-01,24,39.01044899202801,-15.01044899202801
2024-09-01,23,41.028252817872506,-18.028252817872506
2024-10-01,24,38.07004602837662,-14.070046028376623
2024-11-01,22,37.39679274165159,-15.396792741651588
2024-12-01,19,36.58849759071543,-17.588497590715427
2025-01-01,20,36.99362318334881,-16.99362318334881
2025-02-01,21,39.145490856239135,-18.145490856239135
2025-03-01,18,36.05224220253212,-18.05224220253212
2025-04-01,17,38.057331805227705,-21.057331805227705
2025-05-01,17,32.4237161778071,-15.423716177807101
2025-06-01,17,33.496226954173714,-16.496226954173714
2025-07-01,19,35.241991017265356,-16.241991017265356
2025-08-01,38,35.508162677026405,2.491837322973595
2025-09-01,32,36.18239398091674,-4.182393980916743
2025-10-01,33,32.688909820402856,0.31109017959714436
2025-11-01,40,32.284762244934775,7.715237755065225
2025-12-01,28,30.268914453420876,-2.2689144534208765
2026-01-01,39,29.59761720102644,9.402382798973559
2026-02-01,38,30.674040046054255,7.325959953945745
2026-03-01,46,29.99883072499862,16.00116927500138
2026-04-01,100,35.37312081281528,64.62687918718473
